indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
cit,last,10,0,0,"Non-English, less-established",0.08633224677067115,0.0019821500054118648,0.08244730414810802,0.09021718939323428,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,2019216,0.1942233653752038
cit,last,10,0,1,"Non-English, more-established",0.06421073681120096,0.0013395328658119107,0.061585300638101886,0.06683617298430003,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,2019216,0.1942233653752038
cit,last,10,1,0,"English, less-established",0.07505832617526356,0.0033444890316164616,0.06850324812660606,0.08161340422392106,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,2019216,0.1942233653752038
cit,last,10,1,1,"English, more-established",0.048195603141825534,0.0015416633937261185,0.04517399841383855,0.05121720786981252,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,2019216,0.1942233653752038
cit,last,20,0,0,"Non-English, less-established",0.09205825655138326,0.0022748220373928736,0.0875996872868552,0.09651682581591133,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,2019216,0.1944249489209393
cit,last,20,0,1,"Non-English, more-established",0.06837253326616277,0.0013731057030519456,0.06568129554121441,0.07106377099111114,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,2019216,0.1944249489209393
cit,last,20,1,0,"English, less-established",0.0815075337072821,0.00405156920524563,0.07356660398412909,0.08944846343043511,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,2019216,0.1944249489209393
cit,last,20,1,1,"English, more-established",0.052475021363025315,0.001634671820664925,0.049271123467979544,0.055678919258071086,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,2019216,0.1944249489209393
ins,first,100,0,0,"Non-English, less-established",0.07879094312051044,0.0017288159562885833,0.07540252611028664,0.08217936013073424,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1999465,0.19304188577217385
ins,first,100,0,1,"Non-English, more-established",0.05886625389232274,0.0013718933686362805,0.056177392299166296,0.06155511548547918,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1999465,0.19304188577217385
ins,first,100,1,0,"English, less-established",0.06713732121825439,0.0026621701515943865,0.061919563600411856,0.07235507883609692,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1999465,0.19304188577217385
ins,first,100,1,1,"English, more-established",0.03801646204928262,0.0013359244613872989,0.035398098218897445,0.040634825879667796,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1999465,0.19304188577217385
ins,first,200,0,0,"Non-English, less-established",0.0803750459692408,0.0018184005563516657,0.07681104636932394,0.08393904556915767,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1999465,0.19343411134893984
ins,first,200,0,1,"Non-English, more-established",0.06228676274433364,0.0012943745043813805,0.05974983533323925,0.06482369015542802,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1999465,0.19343411134893984
ins,first,200,1,0,"English, less-established",0.06931733018911124,0.002766464916722251,0.06389515858784203,0.07473950179038044,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1999465,0.19343411134893984
ins,first,200,1,1,"English, more-established",0.0419575916869167,0.001414109101840927,0.039185988777098196,0.0447291945967352,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1999465,0.19343411134893984
